2024-11-13 19:56:12.912 INFO  [main] c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
2024-11-13 19:56:12.972 INFO  [main] c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2024-11-13 19:56:13.174 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "roleId" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.Role"
2024-11-13 19:56:13.246 WARN  [main] c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.hkust.mapper.wmsc.WmsStocktakingRecordMapper".
2024-11-13 19:56:13.246 WARN  [main] c.b.m.c.injector.DefaultSqlInjector - interface com.hkust.mapper.wmsc.WmsStocktakingRecordMapper ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-11-13 19:56:13.272 WARN  [main] c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.hkust.entity.UserExts".
2024-11-13 19:56:13.273 WARN  [main] c.b.m.c.injector.DefaultSqlInjector - class com.hkust.entity.UserExts ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-11-13 19:56:13.294 WARN  [main] c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.hkust.entity.RolePerm".
2024-11-13 19:56:13.295 WARN  [main] c.b.m.c.injector.DefaultSqlInjector - class com.hkust.entity.RolePerm ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-11-13 19:56:13.594 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.UserRole"
2024-11-13 19:56:13.714 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@119b0892, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1a3e8e24, org.springframework.security.web.context.SecurityContextPersistenceFilter@2bfb583b, org.springframework.security.web.header.HeaderWriterFilter@4462efe1, org.springframework.security.web.authentication.logout.LogoutFilter@78a515e4, com.hkust.security.jwt.JwtFilter@5d43409a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@513b52af, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6fc1020a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6e4599c0, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4ed4a7e4, org.springframework.security.web.session.SessionManagementFilter@765d55d5, org.springframework.security.web.access.ExceptionTranslationFilter@54755dd9, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@49d30c6f, com.hkust.security.interceptor.HkustFilterSecurityInterceptor@6e041285]
2024-11-13 19:56:14.012 WARN  [main] c.b.m.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.hkust.entity.CabinetType".
2024-11-13 19:56:14.012 WARN  [main] c.b.m.c.injector.DefaultSqlInjector - class com.hkust.entity.CabinetType ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
2024-11-13 19:56:14.020 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "permId" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.Perm"
2024-11-13 19:56:14.030 WARN  [main] c.b.m.core.metadata.TableInfoHelper - This primary key of "urlId" is primitive !不建议如此请使用包装类 in Class: "com.hkust.entity.PermDetail"
